,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
LotArea,0.32148329057766817,-0.07938684226720116,-0.26900778070840264,0.42334259129906937,0.2770366988477902,-0.19696976954662201,-0.06270005727291654,0.058436783451994455,-0.12090969214265322,-0.1313009559671738,-0.06625872910569129,-0.1673714951741519,-0.056902108902541826,0.03167602804562149,-0.1589107018000883,0.08258526875264637,-0.12842727698572554,-0.061037589382169063,0.04983625335563363,-0.06304312369780136,-0.017581418376064542,0.011296015420097675,0.0747448776472606,-0.0004486960656921805,-0.10886029618317791,-0.028952213804072993,0.07889241328898305,-0.128716742483825,0.07245293816415826,-0.02865473458649409,-0.11084691720755739,-0.021494943646777457,0.1397969361269206,0.019921820092775173,0.015850395256457372,-0.08417987294974352,0.03372715742011638,0.041198012600997994,-0.08606514292270077,0.02138982228411842,-0.008167132101986605,-0.06616603516248273,-0.029213686439672128,0.01866211150607431,-0.025900104147659374,0.005908699122752312,0.01619014562012895,-0.018965367281100994,0.028037069830373993,0.02727282349455273,-0.07015387662789135,0.0023329431803249976,0.012311010165069209,0.021653910416542077,0.03485424545213124,0.007247763931327244,0.013236154132818641,-0.0018532198041270806,0.0027213725745747746,0.0625622643324071,-0.022844101547084404,0.06475111754947475,0.06707885961138216,0.05369700736155442,-0.05022892650083325,-0.030515477365420117,0.061876683259097696,0.00936083368001863,0.03125464837900573,-0.05276152934612737,-0.04273318115511159
MasVnrArea,0.4975021811669068,-0.02348024174713173,-0.031290639065952544,0.1179056113122323,0.10549069400198949,0.270748803744187,0.21277388563161495,-0.2826938108786369,-0.16413623902084404,0.0328469570222143,0.18156074491993165,0.22026137292377704,0.04536265177946202,0.02175230195317066,-0.09292461708863534,0.019834846374633664,0.076249727503958,0.09243864708514919,-0.08260684705986071,-0.12336944214659919,-0.07294932547640266,0.04111069856421842,-0.11534385381338971,-0.01182985790886326,-0.08514300712264149,-0.005194032443903807,0.04484630852075214,0.05839161704618077,-0.020486283252980752,0.016700484184950185,-0.039158971864127534,-0.03049304353397037,0.05581579289428195,0.07292691463606965,0.00965908408315273,0.023715084014602573,-0.038455672027788775,-0.04391931954007643,-0.01033002999341186,-0.006570556923810859,-0.06492225560224757,0.03324008083906515,0.07487329340458251,0.043221845739518636,0.007666220109624006,-0.020124245940219262,-0.07967407075993391,-0.07736432884171132,0.06515114979781741,0.055046794366735305,0.05632977717472031,0.04214039877057486,-0.11247976194402298,0.03636692641041651,0.029677688517514185,-0.033025625672349346,0.0021015678655656607,0.07978284484302485,-0.0349340306256262,0.05958619792993296,-0.01371070297548267,-0.04696514980711903,-0.05184013127108408,-0.06681442943938978,-0.025274897879026453,0.01986243769849837,0.03263296118074828,0.09302795869421554,-0.10744189792824134,0.023457517704413382,-0.060358685478880306
BsmtFinSF1,0.31657919993343014,-0.42420724043109037,-0.07175126431190601,0.21047455961960412,0.2720519888163725,0.2795562098391746,-0.16534553783957034,0.10574445075995725,-0.12629663570939256,0.10638090261853107,0.24557091769342085,-0.09142398366984954,0.040597155327586856,-0.08495258405130036,0.18049389171931354,0.07977883588875903,0.09481809125772196,-0.09590726661883876,0.041390605078590416,-0.1282174695749795,0.04595029497712882,-0.02600021511828533,0.11012461436095196,0.02747180955540133,0.05379162311023773,-0.19124082281345162,-0.05122321825995879,0.05618498538894507,-0.07109070630988373,0.0624501360765894,0.04566732429713278,-0.08328520415767268,-0.12342960024977809,0.11462037073925606,0.040245857792183225,-0.008337305555008974,-0.029711326135310422,-0.002685127045502573,-0.12535145418933663,-0.04496415806469608,0.08716615224605856,-0.008118099028147061,-0.008403846275909045,-0.03405481751184363,-0.008859322346235949,-0.02079479859642867,0.10524633488276543,-0.0013798863889200944,0.0016940190502057466,-0.0035878721132434105,-0.02361864708342257,-0.015653291776389702,-0.061642469992050176,0.07396604276300078,0.024669070909126286,-0.0059456495963374255,-0.02780184444978298,-0.010864489872087383,0.023306694032673617,0.0177581440342984,-0.029804744506484612,-0.044257093946948683,0.012068911603190229,-0.012697301205753945,-0.03698205951395869,-0.004571056875542421,-0.05852810601559577,-0.05622254568685096,-0.003998948999449417,-0.01498178660660253,-0.05098238704899679
BsmtUnfSF,0.28030104896218533,0.23669131590701067,0.29197949059120354,0.1676399761220542,-0.2230800477537022,-0.2710952414095584,0.11496441481273804,-0.16295930738061745,0.22292479923604938,-0.06539672144535412,-0.15769108720127673,0.20639637485408446,-0.03090553130440458,0.054279544171963456,-0.23191592876631303,-0.16982728055734947,-0.13368362483923793,0.04507121511029809,-0.03056732669953709,0.1532873336592916,-0.13532997956018653,0.1350884989011588,-0.12691401471983801,-0.0009298933982787593,-0.1268569028526096,0.19019684274275359,0.10760106526582568,-0.10692720849236424,0.12342239405740374,-0.030558131772717243,0.04864547793541183,0.048569649858341314,0.011482417495148898,-0.1245849485075432,-0.122043721415415,-0.05243822006720876,-0.0018870192826532224,-0.05283411572709115,0.06602273838136916,0.019423280795169463,-0.07422236098024138,-0.05261044247765585,0.01546035283932434,-0.013464440357567314,0.02157562155865995,0.019337418460231605,-0.05392491376893733,0.013023483224457013,0.00451144689279217,-0.03685159732947726,0.0032174932670594346,0.0006039088290675559,-0.011019908866535491,-0.025872894920515647,0.004030815806064101,0.09016659113132053,0.02006515292491548,-0.03998426128244183,0.005440606071408799,-0.03665506670805386,-0.056727697719211025,0.054206485561461945,-0.0352414759932107,0.025074865641769247,0.04770223889757212,0.036980616669121204,0.03234930248919249,0.06196708109211284,-0.042569712187416134,0.00680650744900458,0.03466003482998716
TotalBsmtSF,0.6197333071481267,-0.26459150841255663,0.1975159760526425,0.4424781744391978,0.07165872386327067,0.008252874680085377,-0.06548027892017465,-0.055002839623094275,0.11946788920029548,0.05681899080901036,0.0544200427632785,0.10068370855568455,-0.0006090612032264625,-0.03658425101496823,-0.06239353033766014,-0.08298541679039781,-0.04968294137163356,-0.06055124317906368,0.007286584959264082,0.015748671883687098,-0.08475422835072545,0.1099266866328946,-0.004711043568757623,0.016867340175785422,-0.06079344888247765,-0.010150308407041888,0.06805554193906577,-0.05877159172304574,0.07206333994943301,0.03976304366774285,0.08941499193609785,-0.03183618277838131,-0.1071221203115578,-0.01114352844654025,-0.08578730950009528,-0.06390465468740804,-0.02767420591387484,-0.06613578992440293,-0.06264304787682332,-0.03159402655832984,-0.016333095643013565,-0.07355269894941857,-0.008010823593978623,-0.0354167942907389,0.0016814730931714,-0.016600070161988452,0.046750879933163944,0.017326917618530238,0.01411828631972697,-0.05159201319272414,-0.010094243363788636,-0.014906947958666691,-0.05515540581036532,0.006843808518414394,0.019179297565486437,0.0922767238983452,-0.00636443421469573,-0.04318534418114989,0.03687824402915693,-0.024142054558208458,-0.10247837495726234,0.022027901813809318,-0.03939869257751646,0.01684278139070363,0.02987482325335232,0.028264740793177104,-0.007586869337457736,-0.00286801966799018,-0.051086773894295424,0.0015917397381837836,0.02134130155149708
2ndFlrSF,0.28982723128930243,0.6851904951360553,-0.530731939970028,-0.17574187863053903,0.0385151992713426,0.05392537210674967,0.06188000750291303,-0.12436132944319124,-0.04613175597021088,-0.025691731623485054,-0.028718353393829762,-0.032541046280576164,0.022786449082071367,0.0039679965917073364,0.051225341807480264,0.016319733124053833,-0.015541095305116265,-0.04890040879628191,0.00744557220671495,0.05637364023480384,-0.0265960102916395,-0.049816334560589204,0.02489787046315191,0.02521000617766757,0.03917419655518449,-0.07730400283354315,-0.01257363754554889,0.0011782866786778977,-0.006429022537363466,-0.023260078925403136,-0.018477975520980246,0.008901515795789372,0.009767245347305824,0.034153381845490056,-0.025495333618554925,0.031520481929603245,0.04535116275650013,0.0032523247982027665,-0.05280572808319323,-0.018296895706812845,-0.0004709824426038084,0.010029939861073789,-0.01917847980036237,-0.0001041383424777104,-0.018730055108801286,0.017251125958037964,0.052236003723417135,0.008805840390835111,-0.033588104295272266,0.019265722315451272,0.006464045355208096,-0.026568400967623553,0.0008877467353870582,0.0032659828021281605,-0.047489849845146745,0.00893966074467368,0.017235689656153554,0.006384686815172306,0.004935281808666442,0.024677820591325353,-0.0014896324038258422,-0.02040664843486183,0.0005060516086955439,-0.04022327459422945,-0.00354347355310471,0.0024216335389673996,0.01991981071156289,0.007057839740049378,0.027203711191246194,0.011281649483098403,0.0026531990958388314
GrLivArea,0.6516861658307724,0.4303186102566189,-0.37571379669559557,0.24355342583674425,0.18970706167102627,-0.011821078492524242,0.07445774943354133,-0.06934399354298962,0.040726282432211394,0.024977752330989214,-0.04490898653201652,0.07349782886440506,0.09373227781082416,0.029550672274425985,0.026913787151509914,-0.0407711378457918,-0.05365650824833551,-0.037066004951256615,0.02743636433372776,0.017126072515637757,0.0037551510796634273,-0.0013973726283754344,0.018294935594618398,0.014626938863549828,-0.03553234956554665,-0.024411510386999815,-0.013879345996357016,-0.034010216339886296,0.012685317113104794,-0.047870366661076705,0.01983258940273256,-0.025701588698181402,-0.043953190141012094,0.04686782895129462,-0.0375201107459721,-0.0005268894130543034,0.005151891654767204,0.0068654345409428375,-0.008993542659914072,0.0463092050710979,-0.01662064428622338,-0.004181449683332216,-0.006778686975490639,-0.00817935951002468,0.014031026823432154,-0.03538892247234715,0.04713171316801554,0.029431002302419674,0.006258509520005164,0.00036255524345790816,-0.008333718001194453,-0.030005699071672873,-0.03461795835711987,-0.0058532647304505945,-0.0034322845243202693,0.028361417854012718,0.00947364731154359,-0.008014581929647175,0.04093291610415779,0.040509303959633494,-0.04377804195788102,0.003160031926696647,-0.009115694712076912,-0.01665268638748283,0.01646714091789423,0.004571917363428081,0.010298083791214512,-0.008056981327458508,-0.044562579600024965,0.024361143444732124,0.04590841268028343
GarageArea,0.7119393646407571,-0.0894219619959307,-0.08759221260303249,0.19630383002457114,-0.17873480910857428,0.1142802213680403,0.16854612394941854,0.21691822000275915,-0.00023199255355068214,-0.05222939846780192,0.10299227927240118,0.0531698240161364,0.09603964928815036,-0.01664089401837441,-0.10539893805062567,0.016051737099032584,0.006864504154836704,0.005129705782157384,0.05391814642158827,-0.015050593680854147,-0.08888917984899497,-0.058038618879758475,-0.024595656186210037,0.04176687417797269,-0.013974240630861792,0.0393922114216976,-0.0320881632958865,-0.06272235389836137,0.0005958399533483384,-0.03656992105317048,-0.031235535296320224,-0.05633480923781894,0.033407251965938564,0.10678234121930567,-0.029404537006382035,-0.09593691397252933,-0.008643689340100465,-0.03508606693113551,0.07536913472548432,-0.054010879163821975,-0.022398112878886805,0.031414256683608664,-0.04947121150073041,-0.004185713415080054,-0.0009973225827368361,-0.04607933017615479,0.01156540465935268,0.013491169731938221,0.03638958015678054,0.09759216074828249,0.00029287278806311494,0.0328969743357804,0.07738968537915474,0.001998699516937794,-0.026659709161473106,-0.005524974596323248,0.00745888645868003,0.009858235247219151,0.07101464796781827,-0.0007348352853849796,-0.035068801849851894,0.07404902327798574,0.00904433917196221,-0.02559162980576401,0.0023042575887962237,-0.09075911990946922,0.03384519425746438,-0.09385314504895712,0.10495446129322104,-0.06557543876540817,-0.025497261231960937
WoodDeckSF,0.34612102604461437,-0.08093101881432938,-0.12581405390770017,0.060494850804636076,0.14227967055157537,0.08314702852665885,-0.14822361865913544,0.004719592072724449,-0.031526016756142375,-0.020294889645527458,0.12393944747791878,-0.06281265116569394,-0.05708810354776765,0.06169476001333468,-0.06882400066009224,-0.05502893901388689,-0.06320003594301146,0.02460605093950694,-0.08671242349661819,0.021710803624804372,-0.002720757042886697,-0.011298744696643997,0.1850392857099865,-0.19985966826654644,0.02040149934921182,-0.027632778623709917,-0.007771480431073836,-0.08429831164372549,0.06256749569848168,-0.06603824204936432,-0.001234247518545176,0.051638396213632594,0.08124426834129682,-0.06985417968113361,-0.11650665700657244,0.033557661032665095,-0.129609619318279,0.057090043086846856,0.037514283102930174,0.14337158467962965,0.08978022284899607,-0.1355439544665499,-0.0006693290529976805,0.03236857504298379,-0.02494265496818985,-0.17886056021712463,0.08239188666410907,0.03579316363990453,-0.03065739521577318,0.10123670696609952,0.21014216345310058,0.02720412960536615,0.018295351021411464,-0.027900926510224168,0.06044317350552785,-0.03257905241416852,-0.05073489324565129,-0.2023600504143456,-0.010420415651311197,-0.08471518430467842,0.033650944904668474,-0.047007504665613466,-0.04619751122252184,0.03984092725659547,0.11940521171065448,-0.03941201462390988,0.12186143934217776,0.07929704987991425,0.050248736507689046,-0.021569664552426975,0.08827544258915088
OpenPorchSF,0.3853869423252133,0.14972673696006436,-0.034992781782588335,0.0326300176635428,0.05204570599760891,-0.01882355145183584,-0.037801929343505625,-0.05419715877241543,0.21709594243145836,-0.003638335156506272,0.06009600822944967,-0.05203601819654962,0.025036646851058646,-0.07999188608229105,-0.056433443304815985,0.11875337867560562,-0.002714691645114997,-0.05487160958027001,-0.01368078826943165,-0.055668949459731894,-0.029321559439920788,-0.11025250184684444,-0.04239281061070208,0.17729890591878128,0.14180911167409577,0.006332471961047315,0.08732004780092625,0.026012876401760705,-0.04222501299529923,-0.1292039561810315,-0.07098416172747363,-0.015026600881523827,0.030689912471564416,0.0336831436943858,0.009888098559615179,-0.10055037149118402,0.04319364445321546,0.07167211949922006,-0.09051309566524286,-0.09678437647025294,0.09915609208963923,0.03533688287936269,-0.14460967307588066,-0.13701750490872236,-0.026876404806344508,0.005476032947825649,-0.042222703575670914,-0.001989882608399432,0.05466151761911265,-0.07169458369974013,-0.05240344091024951,-0.08713263275078773,0.06299134235450699,-0.11516030522472864,0.09458940427427939,0.05766032630975772,-0.07385906514637557,0.028166475068572904,0.09952347845033171,0.05761374611440669,-0.11255577409672958,-0.06194223844432313,0.0821355913232789,0.1003341472688158,-0.061376583289624406,0.06052387945061619,0.03633968481618014,0.1885137468815465,-0.040386513705110455,0.04063517932059288,0.006099737176071138
